Time,Generated,From grid,C
2024-02-01 00:00:00,,2306,
2024-02-01 00:30:00,,2230,
2024-02-01 01:00:00,,2289,
2024-02-01 01:30:00,,2171,
2024-02-01 02:00:00,,2272,
2024-02-01 02:30:00,,300,
2024-02-01 03:00:00,,220,
2024-02-01 03:30:00,,220,
2024-02-01 04:00:00,,219,
2024-02-01 04:30:00,,306,
2024-02-01 05:00:00,,299,
2024-02-01 05:30:00,,219,
2024-02-01 06:00:00,,4301,
2024-02-01 06:30:00,,4841,
2024-02-01 07:00:00,,3241,
2024-02-01 07:30:00,,4017,
2024-02-01 08:00:00,50,5945,5995
2024-02-01 08:30:00,176,2535,2711
2024-02-01 09:00:00,296,2748,3044
2024-02-01 09:30:00,554,2549,3103
2024-02-01 10:00:00,457,2502,2959
2024-02-01 10:30:00,540,1866,2406
2024-02-01 11:00:00,818,1998,2816
2024-02-01 11:30:00,965,1358,2323
2024-02-01 12:00:00,958,2458,3416
2024-02-01 12:30:00,967,1957,2924
2024-02-01 13:00:00,743,1860,2603
2024-02-01 13:30:00,1161,1551,2712
2024-02-01 14:00:00,1249,1710,2959
2024-02-01 14:30:00,841,1625,2466
2024-02-01 15:00:00,2025,374,2399
2024-02-01 15:30:00,603,1703,2306
2024-02-01 16:00:00,727,1217,1944
2024-02-01 16:30:00,659,1340,1999
2024-02-01 17:00:00,410,1564,1974
2024-02-01 17:30:00,79,1864,1943
2024-02-01 18:00:00,0,2451,2451
2024-02-01 18:30:00,0.643,2517,2518
2024-02-01 19:00:00,1.29,2251,2252
2024-02-01 19:30:00,1.93,2430,2432
2024-02-01 20:00:00,2.57,2525,2528
2024-02-01 20:30:00,3.21,2438,2441
2024-02-01 21:00:00,3.86,2404,2408
2024-02-01 21:30:00,4.5,2556,2561
2024-02-01 22:00:00,5.14,2583,2588
2024-02-01 22:30:00,5.79,2559,2565
2024-02-01 23:00:00,6.43,2277,2283
2024-02-01 23:30:00,7.07,2091,2098
2024-02-02 00:00:00,7.71,2225,2233
2024-02-02 00:30:00,8.36,2239,2247
2024-02-02 01:00:00,9,2197,2206
