Time,Generated,From grid,C
2024-06-01 00:00:00,,255,
2024-06-01 00:30:00,,236,
2024-06-01 01:00:00,,232,
2024-06-01 01:30:00,,152,
2024-06-01 02:00:00,,145,
2024-06-01 02:30:00,,152,
2024-06-01 03:00:00,,243,
2024-06-01 03:30:00,,238,
2024-06-01 04:00:00,,144,
2024-06-01 04:30:00,,151,
2024-06-01 05:00:00,,149,
2024-06-01 05:30:00,,3901,
2024-06-01 06:00:00,45,208,253
2024-06-01 06:30:00,119,1267,1386
2024-06-01 07:00:00,166,-11,155
2024-06-01 07:30:00,228,1152,1380
2024-06-01 08:00:00,516,-250,266
2024-06-01 08:30:00,837,-472,365
2024-06-01 09:00:00,1108,-769,339
2024-06-01 09:30:00,2238,-2046,192
2024-06-01 10:00:00,1820,-1622,198
2024-06-01 10:30:00,1944,-606,1338
2024-06-01 11:00:00,2744,210,2954
2024-06-01 11:30:00,4400,-4065,335
2024-06-01 12:00:00,4400,-4127,273
2024-06-01 12:30:00,4021,-3780,241
2024-06-01 13:00:00,4400,-3986,414
2024-06-01 13:30:00,4400,-3991,409
2024-06-01 14:00:00,4400,-4067,333
2024-06-01 14:30:00,4300,-3939,361
2024-06-01 15:00:00,4400,-4083,317
2024-06-01 15:30:00,4171,-3884,287
2024-06-01 16:00:00,3829,-3602,227
2024-06-01 16:30:00,3629,-3291,338
2024-06-01 17:00:00,3298,-2957,341
2024-06-01 17:30:00,2789,-2472,317
2024-06-01 18:00:00,2331,-2157,174
2024-06-01 18:30:00,1841,-1666,175
2024-06-01 19:00:00,1224,-1061,163
2024-06-01 19:30:00,774,-516,258
2024-06-01 20:00:00,302,-15,287
2024-06-01 20:30:00,85,158,243
2024-06-01 21:00:00,18,148,166
2024-06-01 21:30:00,0,1258,1258
2024-06-01 22:00:00,0.941,147,148
2024-06-01 22:30:00,1.88,145,147
2024-06-01 23:00:00,2.82,244,247
2024-06-01 23:30:00,3.76,404,408
2024-06-02 00:00:00,4.71,154,159
2024-06-02 00:30:00,5.65,153,159
2024-06-02 01:00:00,6.59,151,158
2024-06-02 01:30:00,7.53,249,257
2024-06-02 02:00:00,8.47,238,246
2024-06-02 02:30:00,9.41,150,159
2024-06-02 03:00:00,10.4,173,183
2024-06-02 03:30:00,11.3,153,164
2024-06-02 04:00:00,12.2,248,260
2024-06-02 04:30:00,13.2,244,257
2024-06-02 05:00:00,14.1,150,164
2024-06-02 05:30:00,15.1,4117,4132
2024-06-02 06:00:00,16,1389,1405
2024-06-02 06:30:00,107,1360,1467
2024-06-02 07:00:00,279,32,311
2024-06-02 07:30:00,478,957,1435
2024-06-02 08:00:00,496,-278,218
2024-06-02 08:30:00,965,741,1706
2024-06-02 09:00:00,1531,-1062,469
2024-06-02 09:30:00,1318,607,1925
2024-06-02 10:00:00,2479,148,2627
2024-06-02 10:30:00,3062,-758,2304
2024-06-02 11:00:00,3421,-704,2717
2024-06-02 11:30:00,3786,-1012,2774
2024-06-02 12:00:00,4244,-1389,2855
2024-06-02 12:30:00,4227,1644,5871
2024-06-02 13:00:00,4262,-1840,2422
2024-06-02 13:30:00,4325,-1917,2408
2024-06-02 14:00:00,4385,125,4510
2024-06-02 14:30:00,4290,-1621,2669
2024-06-02 15:00:00,4144,-1601,2543
2024-06-02 15:30:00,4031,-1614,2417
2024-06-02 16:00:00,3769,-1259,2510
2024-06-02 16:30:00,3520,-1161,2359
2024-06-02 17:00:00,3157,-815,2342
2024-06-02 17:30:00,2686,-432,2254
2024-06-02 18:00:00,2342,58,2400
2024-06-02 18:30:00,1838,417,2255
2024-06-02 19:00:00,1259,-989,270
2024-06-02 19:30:00,741,2287,3028
2024-06-02 20:00:00,307,2172,2479
2024-06-02 20:30:00,72,448,520
2024-06-02 21:00:00,13,273,286
2024-06-02 21:30:00,0,1396,1396
2024-06-02 22:00:00,1.29,203,204
2024-06-02 22:30:00,2.59,425,428
