Time,Generated,From grid,C
2024-03-01 00:00:00,,231,
2024-03-01 00:30:00,,221,
2024-03-01 01:00:00,,219,
2024-03-01 01:30:00,,143,
2024-03-01 02:00:00,,145,
2024-03-01 02:30:00,,140,
2024-03-01 03:00:00,,233,
2024-03-01 03:30:00,,235,
2024-03-01 04:00:00,,149,
2024-03-01 04:30:00,,150,
2024-03-01 05:00:00,,159,
2024-03-01 05:30:00,,150,
2024-03-01 06:00:00,,1533,
2024-03-01 06:30:00,,2980,
2024-03-01 07:00:00,,3118,
2024-03-01 07:30:00,90,2983,3073
2024-03-01 08:00:00,215,2902,3117
2024-03-01 08:30:00,608,1846,2454
2024-03-01 09:00:00,1421,890,2311
2024-03-01 09:30:00,2035,423,2458
2024-03-01 10:00:00,2490,-347,2143
2024-03-01 10:30:00,3044,-900,2144
2024-03-01 11:00:00,3425,-1260,2165
2024-03-01 11:30:00,3721,-1892,1829
2024-03-01 12:00:00,3954,-2022,1932
2024-03-01 12:30:00,4097,-2221,1876
2024-03-01 13:00:00,4159,-1692,2467
2024-03-01 13:30:00,4130,-258,3872
2024-03-01 14:00:00,4027,282,4309
2024-03-01 14:30:00,3858,1028,4886
2024-03-01 15:00:00,3583,-864,2719
2024-03-01 15:30:00,3282,907,4189
2024-03-01 16:00:00,2307,-1692,615
2024-03-01 16:30:00,2234,-1950,284
2024-03-01 17:00:00,1534,-1281,253
2024-03-01 17:30:00,840,-532,308
2024-03-01 18:00:00,158,129,287
2024-03-01 18:30:00,4,2277,2281
2024-03-01 19:00:00,0,1959,1959
2024-03-01 19:30:00,6.44,3016,3022
2024-03-01 20:00:00,12.9,2991,3004
2024-03-01 20:30:00,19.3,2434,2453
2024-03-01 21:00:00,25.8,648,674
2024-03-01 21:30:00,32.2,708,740
2024-03-01 22:00:00,38.6,2319,2358
2024-03-01 22:30:00,45.1,2163,2208
2024-03-01 23:00:00,51.5,204,256
2024-03-01 23:30:00,58,158,216
2024-03-02 00:00:00,64.4,245,309
2024-03-02 00:30:00,70.8,232,303
2024-03-02 01:00:00,77.3,155,232
2024-03-02 01:30:00,83.7,155,239
2024-03-02 02:00:00,90.2,153,243
